"Any","Mes","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Demanda_ocupacio","Nombre"
2021,1,2,"Eixample",7,"la Dreta de l'Eixample","Dones","Demanda No Aturats",1555
2021,1,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Dones","Demanda No Aturats",1679
2021,1,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Dones","Demanda No Aturats",2499
2021,1,2,"Eixample",10,"Sant Antoni","Dones","Demanda No Aturats",1769
2021,1,3,"Sants-Montjuïc",11,"el Poble Sec","Dones","Demanda No Aturats",2070
2021,1,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Dones","Demanda No Aturats",84
2021,1,3,"Sants-Montjuïc",13,"la Marina de Port","Dones","Demanda No Aturats",1608
2021,1,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Dones","Demanda No Aturats",523
2021,1,3,"Sants-Montjuïc",15,"Hostafrancs","Dones","Demanda No Aturats",802
2021,1,3,"Sants-Montjuïc",16,"la Bordeta","Dones","Demanda No Aturats",941
2021,1,3,"Sants-Montjuïc",17,"Sants - Badal","Dones","Demanda No Aturats",1018
2021,1,3,"Sants-Montjuïc",18,"Sants","Dones","Demanda No Aturats",1934
2021,1,4,"Les Corts",19,"les Corts","Dones","Demanda No Aturats",1998
2021,1,4,"Les Corts",20,"la Maternitat i Sant Ramon","Dones","Demanda No Aturats",1006
2021,1,4,"Les Corts",21,"Pedralbes","Dones","Demanda No Aturats",250
2021,1,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Dones","Demanda No Aturats",98
2021,1,5,"Sarrià-Sant Gervasi",23,"Sarrià","Dones","Demanda No Aturats",531
2021,1,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Dones","Demanda No Aturats",383
2021,1,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Dones","Demanda No Aturats",732
2021,1,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Dones","Demanda No Aturats",1386
2021,1,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Dones","Demanda No Aturats",1176
2021,1,6,"Gràcia",28,"Vallcarca i els Penitents","Dones","Demanda No Aturats",714
2021,1,6,"Gràcia",29,"el Coll","Dones","Demanda No Aturats",307
2021,1,6,"Gràcia",30,"la Salut","Dones","Demanda No Aturats",601
2021,1,6,"Gràcia",31,"la Vila de Gràcia","Dones","Demanda No Aturats",2361
2021,1,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Dones","Demanda No Aturats",1541
2021,1,7,"Horta-Guinardó",33,"el Baix Guinardó","Dones","Demanda No Aturats",1184
2021,1,7,"Horta-Guinardó",34,"Can Baró","Dones","Demanda No Aturats",429
2021,1,7,"Horta-Guinardó",35,"el Guinardó","Dones","Demanda No Aturats",1706
2021,1,7,"Horta-Guinardó",36,"la Font d'en Fargues","Dones","Demanda No Aturats",480
2021,1,7,"Horta-Guinardó",37,"el Carmel","Dones","Demanda No Aturats",1642
2021,1,7,"Horta-Guinardó",38,"la Teixonera","Dones","Demanda No Aturats",504
2021,1,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Dones","Demanda No Aturats",306
2021,1,7,"Horta-Guinardó",40,"Montbau","Dones","Demanda No Aturats",221
2021,1,7,"Horta-Guinardó",41,"la Vall d'Hebron","Dones","Demanda No Aturats",236
2021,1,7,"Horta-Guinardó",42,"la Clota","Dones","Demanda No Aturats",16
2021,1,7,"Horta-Guinardó",43,"Horta","Dones","Demanda No Aturats",1365
2021,1,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Dones","Demanda No Aturats",1290
2021,1,8,"Nou Barris",45,"Porta","Dones","Demanda No Aturats",1258
2021,1,8,"Nou Barris",46,"el Turó de la Peira","Dones","Demanda No Aturats",795
2021,1,8,"Nou Barris",47,"Can Peguera","Dones","Demanda No Aturats",107
2021,1,8,"Nou Barris",48,"la Guineueta","Dones","Demanda No Aturats",794
2021,1,8,"Nou Barris",49,"Canyelles","Dones","Demanda No Aturats",387
2021,1,8,"Nou Barris",50,"les Roquetes","Dones","Demanda No Aturats",840
2021,1,8,"Nou Barris",51,"Verdun","Dones","Demanda No Aturats",644
2021,1,8,"Nou Barris",52,"la Prosperitat","Dones","Demanda No Aturats",1413
