"Any","Mes","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Demanda_ocupació","Nombre"
2018,1,8,"Nou Barris",50,"les Roquetes","Dones","Demanda no aturats","124"
2018,1,8,"Nou Barris",51,"Verdun","Dones","Demanda no aturats","95"
2018,1,8,"Nou Barris",52,"la Prosperitat","Dones","Demanda no aturats","184"
2018,1,8,"Nou Barris",53,"la Trinitat Nova","Dones","Demanda no aturats","71"
2018,1,8,"Nou Barris",54,"Torre Baró","Dones","Demanda no aturats","19"
2018,1,8,"Nou Barris",55,"Ciutat Meridiana","Dones","Demanda no aturats","102"
2018,1,8,"Nou Barris",56,"Vallbona","Dones","Demanda no aturats","12"
2018,1,9,"Sant Andreu",57,"la Trinitat Vella","Dones","Demanda no aturats","94"
2018,1,9,"Sant Andreu",58,"Baró de Viver","Dones","Demanda no aturats","17"
2018,1,9,"Sant Andreu",59,"el Bon Pastor","Dones","Demanda no aturats","99"
2018,1,9,"Sant Andreu",60,"Sant Andreu","Dones","Demanda no aturats","401"
2018,1,9,"Sant Andreu",61,"la Sagrera","Dones","Demanda no aturats","202"
2018,1,9,"Sant Andreu",62,"el Congrés i els Indians","Dones","Demanda no aturats","98"
2018,1,9,"Sant Andreu",63,"Navas","Dones","Demanda no aturats","149"
2018,1,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Dones","Demanda no aturats","268"
2018,1,10,"Sant Martí",65,"el Clot","Dones","Demanda no aturats","169"
2018,1,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Dones","Demanda no aturats","75"
2018,1,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Dones","Demanda no aturats","49"
2018,1,10,"Sant Martí",68,"el Poblenou","Dones","Demanda no aturats","170"
2018,1,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Dones","Demanda no aturats","82"
2018,1,10,"Sant Martí",70,"el Besòs i el Maresme","Dones","Demanda no aturats","189"
2018,1,10,"Sant Martí",71,"Provençals del Poblenou","Dones","Demanda no aturats","129"
2018,1,10,"Sant Martí",72,"Sant Martí de Provençals","Dones","Demanda no aturats","188"
2018,1,10,"Sant Martí",73,"la Verneda i la Pau","Dones","Demanda no aturats","214"
2018,1,99,"No consta",99,"No consta","Dones","Demanda no aturats","0"
2018,2,1,"Ciutat Vella",1,"el Raval","Homes","Atur registrat","1959"
2018,2,1,"Ciutat Vella",2,"el Barri Gòtic","Homes","Atur registrat","483"
2018,2,1,"Ciutat Vella",3,"la Barceloneta","Homes","Atur registrat","524"
2018,2,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Homes","Atur registrat","719"
2018,2,2,"Eixample",5,"el Fort Pienc","Homes","Atur registrat","576"
2018,2,2,"Eixample",6,"la Sagrada Família","Homes","Atur registrat","907"
2018,2,2,"Eixample",7,"la Dreta de l'Eixample","Homes","Atur registrat","596"
2018,2,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Homes","Atur registrat","685"
2018,2,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Homes","Atur registrat","1013"
2018,2,2,"Eixample",10,"Sant Antoni","Homes","Atur registrat","778"
2018,2,3,"Sants-Montjuïc",11,"el Poble Sec","Homes","Atur registrat","1174"
2018,2,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Homes","Atur registrat","66"
2018,2,3,"Sants-Montjuïc",13,"la Marina de Port","Homes","Atur registrat","731"
2018,2,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Homes","Atur registrat","292"
2018,2,3,"Sants-Montjuïc",15,"Hostafrancs","Homes","Atur registrat","329"
2018,2,3,"Sants-Montjuïc",16,"la Bordeta","Homes","Atur registrat","386"
